t_s,gpus_held
0,0
0,0.0
10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,0.0
71,0.0
81,0.0
91,0.0
101,0.0
111,0.0
121,0.0
131,0.0
141,0.0
151,8.0
161,8.0
171,8.0
181,8.0
191,8.0
201,8.0
211,9.0
221,16.0
231,16.0
241,16.0
251,16.0
262,16.0
272,16.0
282,16.0
292,17.0
302,18.0
312,19.0
322,20.0
332,24.0
342,28.0
352,32.0
362,41.0
372,48.0
382,56.0
392,56.0
402,56.0
412,56.0
422,56.0
432,56.0
442,57.0
452,105.0
462,105.0
472,105.0
482,105.0
492,105.0
502,105.0
512,106.0
523,142.0
533,142.0
543,142.0
553,142.0
563,142.0
573,142.0
583,144.0
593,170.0
603,170.0
613,170.0
623,170.0
633,170.0
643,170.0
653,172.0
663,207.0
673,207.0
684,208.0
694,208.0
704,208.0
714,208.0
724,209.0
734,240.0
744,240.0
754,240.0
764,240.0
774,240.0
784,240.0
794,240.0
804,256.0
814,256.0
824,256.0
834,256.0
844,256.0
854,256.0
864,256.0
874,255.0
884,215.0
894,131.0
905,34.0
915,4.0
925,3.0
935,3.0
945,3.0
955,3.0
965,3.0
975,3.0
985,3.0
995,2.0
1005,2.0
1015,2.0
1025,2.0
1035,2.0
1045,2.0
1055,1.0
1065,1.0
1075,1.0
1085,1.0
1095,1.0
1105,1.0
1115,1.0
1126,0.0
1136,0.0
1146,0.0
1156,0.0
1167,0.0
1177,0.0
1187,0.0
1197,0.0
1207,0.0
1217,0.0
1227,0.0
1237,0.0
1246,0.0
1256,0.0
1267,0.0
1277,0.0
1287,0.0
1297,0.0
1307,0.0
1125,0
